pos_thresh,entry_prob,n_trades,win_0,win_3,win_target,avg_win,avg_loss,pl_ratio,ev,pos_rate
0.02,0.5,135461,0.5441492385262179,0.2823764773624881,0.36192704911376705,0.04312858980476151,0.040124917235777866,1.074858037745817,0.005177415224968753,0.31732740521180686
0.02,0.6,33224,0.5549301709607513,0.3546231639778473,0.42075006019744765,0.05768307148860136,0.052351666309602134,1.101838309166128,0.008709929548376374,0.31732740521180686
0.02,0.7,2436,0.5919540229885057,0.45566502463054187,0.5028735632183908,0.08094689554734912,0.06617058176194601,1.223306390724538,0.02091620078321145,0.31732740521180686
0.02,0.8,176,0.6931818181818182,0.6022727272727273,0.6306818181818182,0.11173418874320629,0.07803464717716148,1.43185357767476,0.05350965954036619,0.31732740521180686
0.03,0.5,127969,0.5449210355633005,0.28996084989333354,0.28996084989333354,0.04444429546846904,0.041059045812557704,1.0824483274980534,0.005533523462421693,0.2304022065785682
0.03,0.6,54083,0.5530943179927149,0.3443780855351959,0.3443780855351959,0.055186049764304586,0.05002078594405876,1.103262348297015,0.008168517100230071,0.2304022065785682
0.03,0.7,9442,0.5641813175174751,0.4063757678457954,0.4063757678457954,0.07228905778645915,0.06127205748724864,1.1798046409899532,0.014080628496975191,0.2304022065785682
0.03,0.8,606,0.6353135313531353,0.533003300330033,0.533003300330033,0.09678360552136346,0.06801845333466719,1.422902179871171,0.03668252465142488,0.2304022065785682
0.05,0.5,103485,0.5474706479199885,0.30777407353722763,0.19105184326230853,0.04760731100127088,0.04356754470212741,1.0927242130986143,0.006348012623823507,0.11965336956074266
0.05,0.6,61700,0.5546515397082658,0.34294975688816853,0.23040518638573743,0.05464204738777613,0.04924571759620028,1.1095796762639158,0.008375791209012693,0.11965336956074266
0.05,0.7,26446,0.5580049913030326,0.38410345609922103,0.2825001890645088,0.06642829864037515,0.05763181314672299,1.1526324613674304,0.011594348452089964,0.11965336956074266
0.05,0.8,4746,0.56826801517067,0.433417614833544,0.34576485461441214,0.08019907061368531,0.06324852148314324,1.26799913631277,0.018268156958733413,0.11965336956074266
0.08,0.5,73857,0.5525407205816646,0.3326292700759576,0.11034837591562073,0.052516913502874484,0.04724030681533211,1.1116971299142753,0.007879619582513632,0.048754682804330825
0.08,0.6,48581,0.5565550318025566,0.35767069430435766,0.13515571931413514,0.05843158887061093,0.0517062234131442,1.1300687811548247,0.009591530205105146,0.048754682804330825
0.08,0.7,27767,0.5613498037238448,0.38783447977815394,0.17207476500882343,0.06719373278896,0.05766115075725746,1.1653207039143723,0.012426113615375208,0.048754682804330825
0.08,0.8,10873,0.5605628621355652,0.41938747355835554,0.22027039455532052,0.07936261872375487,0.06392473888937589,1.2415008665282905,0.016396832402082954,0.048754682804330825
0.1,0.5,57814,0.5544331822741897,0.3465942505275539,0.08181409347216938,0.05595742239897369,0.0495044149140648,1.130352161440767,0.008967127155886007,0.029027211724507018
0.1,0.6,40899,0.5569573828210959,0.36700163818186265,0.09870656984278345,0.06119562999366999,0.05345641463147551,1.1447761772941198,0.010399888078033017,0.029027211724507018
0.1,0.7,25047,0.5616640715454945,0.39377969417495107,0.12740048708428156,0.06919003384247314,0.05861372214775728,1.1804408815405787,0.013169055800522422,0.029027211724507018
0.1,0.8,10905,0.5617606602475929,0.42063273727647865,0.15974323704722604,0.07932802451997303,0.0645050134725095,1.2297962631041188,0.016294728915564594,0.029027211724507018
