model,threshold,n_trades,win_0,win_3,pl_ratio,ev
LightGBM,0.6,44960,0.5601423487544483,0.3620996441281139,1.1261161304937617,0.009952268660117388
LightGBM,0.65,16812,0.5692957411372829,0.4000118962645729,1.1675903822072233,0.013638071256171294
LightGBM,0.7,3399,0.56957928802589,0.4315975286849073,1.2818855443646315,0.018218697234565203
LightGBM,0.75,388,0.6520618556701031,0.5231958762886598,1.6350878495546204,0.03937986468137501
LightGBM,0.8,10,0.5,0.5,1.4223249100503674,0.016218338395134264
XGBoost,0.6,55082,0.5577139537416942,0.3430884862568534,1.1006332659533378,0.008460853271884016
XGBoost,0.65,27477,0.5687666047967391,0.3764603122611639,1.1310702817343723,0.011474348465035328
XGBoost,0.7,9559,0.5838476828120096,0.41918610733340306,1.1841898132405404,0.016151760022542087
XGBoost,0.75,1751,0.6173615077098801,0.4802969731581953,1.4068372675883758,0.02721841186802366
XGBoost,0.8,165,0.6787878787878788,0.5757575757575758,1.9428912230886717,0.051769082300731795
XGBoost,0.85,12,0.9166666666666666,0.8333333333333334,0.7189955118159337,0.08336176308267353
NeuralNet,0.6,4284,0.6251167133520075,0.42927170868347336,1.2395231514655574,0.019357293767758608
NeuralNet,0.65,2852,0.6416549789621319,0.45897615708274897,1.299478314819523,0.02291526679276245
NeuralNet,0.7,1846,0.6749729144095341,0.5037919826652221,1.338622543389298,0.028656317241551182
NeuralNet,0.75,1159,0.7057808455565142,0.5375323554788611,1.3786763068817538,0.03314423748361353
NeuralNet,0.8,625,0.728,0.5968,1.4074416096823932,0.039263031614190036
NeuralNet,0.85,301,0.7840531561461794,0.6744186046511628,1.513738596928939,0.050926178427694375
NeuralNet,0.9,122,0.7540983606557377,0.6639344262295082,1.6114479921744307,0.047125629873269896
