weight,strategy,stop_loss,bear_alloc,bull_sr,bull_dd,bull_ret,bear_sr,bear_dd,bear_wr,bear_trades,passed
V0.2(Fund+Ana),Fixed_10d,-0.1,0.3,0.408,25.07,12.15,-0.591,21.16,48.8,125,True
V0.2(Fund+Ana),Fixed_10d,-0.1,0.5,0.408,25.07,12.15,-0.426,21.92,48.8,125,True
V0.2(Fund+Ana),Fixed_10d,-0.15,0.3,0.403,24.55,12.07,-0.521,22.61,47.5,120,True
V0.2(Fund+Ana),Fixed_10d,-0.15,0.5,0.403,24.55,12.07,-0.466,24.58,47.5,120,True
V0.2(Fund+Ana),Fixed_30d,-0.1,0.3,0.444,18.56,13.1,-0.737,21.15,43.9,41,True
V0.2(Fund+Ana),Fixed_30d,-0.1,0.5,0.444,18.56,13.1,-0.545,22.69,43.9,41,True
V0.2(Fund+Ana),Fixed_30d,-0.15,0.3,0.526,16.89,17.4,-0.616,19.43,47.5,40,True
V0.2(Fund+Ana),Fixed_30d,-0.15,0.5,0.526,16.89,17.4,-0.494,21.0,47.5,40,True
V0.2(Fund+Ana),Signal_5d,-0.1,0.3,-0.443,22.5,-10.61,0.494,5.34,25.0,4,False
V0.2(Fund+Ana),Signal_5d,-0.1,0.5,-0.443,22.5,-10.61,0.525,8.51,25.0,4,False
V0.2(Fund+Ana),Signal_5d,-0.15,0.3,-0.422,24.36,-12.77,0.339,5.61,25.0,4,False
V0.2(Fund+Ana),Signal_5d,-0.15,0.5,-0.422,24.36,-12.77,0.367,8.99,25.0,4,False
V0.2(Fund+Ana),Signal_10d,-0.1,0.3,-0.443,22.5,-10.61,0.494,5.34,25.0,4,False
V0.2(Fund+Ana),Signal_10d,-0.1,0.5,-0.443,22.5,-10.61,0.525,8.51,25.0,4,False
V0.2(Fund+Ana),Signal_10d,-0.15,0.3,-0.422,24.36,-12.77,0.339,5.61,25.0,4,False
V0.2(Fund+Ana),Signal_10d,-0.15,0.5,-0.422,24.36,-12.77,0.367,8.99,25.0,4,False
Pure_Fund,Fixed_10d,-0.1,0.3,1.123,17.92,51.03,0.418,19.67,48.7,119,True
Pure_Fund,Fixed_10d,-0.1,0.5,1.123,17.92,51.03,0.542,19.67,48.7,119,True
Pure_Fund,Fixed_10d,-0.15,0.3,1.235,17.36,58.92,0.439,19.0,49.6,119,True
Pure_Fund,Fixed_10d,-0.15,0.5,1.235,17.36,58.92,0.541,19.0,49.6,119,True
Pure_Fund,Fixed_30d,-0.1,0.3,0.272,29.34,7.2,-0.047,14.93,43.9,41,True
Pure_Fund,Fixed_30d,-0.1,0.5,0.272,29.34,7.2,0.106,15.95,43.9,41,True
Pure_Fund,Fixed_30d,-0.15,0.3,0.568,28.82,22.39,0.273,16.63,60.0,40,True
Pure_Fund,Fixed_30d,-0.15,0.5,0.568,28.82,22.39,0.362,16.63,60.0,40,True
Pure_Fund,Signal_5d,-0.1,0.3,0.477,16.04,7.39,0.487,5.35,25.0,4,False
Pure_Fund,Signal_5d,-0.1,0.5,0.477,16.04,7.39,0.516,8.52,25.0,4,False
Pure_Fund,Signal_5d,-0.15,0.3,0.474,17.84,5.26,0.394,5.47,25.0,4,False
Pure_Fund,Signal_5d,-0.15,0.5,0.474,17.84,5.26,0.422,8.74,25.0,4,False
Pure_Fund,Signal_10d,-0.1,0.3,0.48,15.85,8.82,0.512,5.34,25.0,4,False
Pure_Fund,Signal_10d,-0.1,0.5,0.48,15.85,8.82,0.542,8.5,25.0,4,False
Pure_Fund,Signal_10d,-0.15,0.3,0.476,16.6,6.69,0.436,5.36,25.0,4,False
Pure_Fund,Signal_10d,-0.15,0.5,0.476,16.6,6.69,0.464,8.57,25.0,4,False
Full_FMP,Fixed_10d,-0.1,0.3,0.522,19.06,19.2,0.413,17.65,49.6,125,True
Full_FMP,Fixed_10d,-0.1,0.5,0.522,19.06,19.2,0.569,17.65,49.6,125,True
Full_FMP,Fixed_10d,-0.15,0.3,0.579,20.42,22.9,0.504,17.15,49.6,125,True
Full_FMP,Fixed_10d,-0.15,0.5,0.579,20.42,22.9,0.621,17.15,49.6,125,True
Full_FMP,Fixed_30d,-0.1,0.3,0.004,19.91,-3.3,0.222,15.04,46.3,41,True
Full_FMP,Fixed_30d,-0.1,0.5,0.004,19.91,-3.3,0.355,15.04,46.3,41,True
Full_FMP,Fixed_30d,-0.15,0.3,0.457,21.47,15.99,0.556,15.42,52.5,40,True
Full_FMP,Fixed_30d,-0.15,0.5,0.457,21.47,15.99,0.602,15.8,52.5,40,True
Full_FMP,Signal_5d,-0.1,0.3,0.129,12.68,1.48,0.755,5.24,50.0,4,True
Full_FMP,Signal_5d,-0.1,0.5,0.129,12.68,1.48,0.791,8.26,50.0,4,True
Full_FMP,Signal_5d,-0.15,0.3,0.085,12.83,0.71,0.654,5.28,50.0,4,True
Full_FMP,Signal_5d,-0.15,0.5,0.085,12.83,0.71,0.687,8.35,50.0,4,True
Full_FMP,Signal_10d,-0.1,0.3,-0.398,23.67,-13.13,0.606,5.28,50.0,4,True
Full_FMP,Signal_10d,-0.1,0.5,-0.398,23.67,-13.13,0.638,8.32,50.0,4,True
Full_FMP,Signal_10d,-0.15,0.3,0.184,16.88,3.14,0.498,5.31,50.0,4,True
Full_FMP,Signal_10d,-0.15,0.5,0.184,16.88,3.14,0.528,8.41,50.0,4,True
Analyst_Heavy,Fixed_10d,-0.1,0.3,-0.38,43.58,-24.01,0.172,23.04,50.0,120,True
Analyst_Heavy,Fixed_10d,-0.1,0.5,-0.38,43.58,-24.01,0.452,23.08,50.0,120,True
Analyst_Heavy,Fixed_10d,-0.15,0.3,-0.281,44.66,-20.14,-0.168,26.98,50.0,120,True
Analyst_Heavy,Fixed_10d,-0.15,0.5,-0.281,44.66,-20.14,0.117,28.29,50.0,120,False
Analyst_Heavy,Fixed_30d,-0.1,0.3,0.081,45.46,-18.19,-0.115,18.99,48.8,41,True
Analyst_Heavy,Fixed_30d,-0.1,0.5,0.081,45.46,-18.19,0.25,20.86,48.8,41,True
Analyst_Heavy,Fixed_30d,-0.15,0.3,0.197,39.85,-7.68,0.791,14.67,60.0,40,True
Analyst_Heavy,Fixed_30d,-0.15,0.5,0.197,39.85,-7.68,1.014,16.57,60.0,40,True
Analyst_Heavy,Signal_5d,-0.1,0.3,0.443,31.6,8.27,0.883,11.57,66.7,3,True
Analyst_Heavy,Signal_5d,-0.1,0.5,0.443,31.6,8.27,0.945,17.47,66.7,3,True
Analyst_Heavy,Signal_5d,-0.15,0.3,0.436,31.57,7.01,0.863,11.6,66.7,3,True
Analyst_Heavy,Signal_5d,-0.15,0.5,0.436,31.57,7.01,0.925,17.53,66.7,3,True
Analyst_Heavy,Signal_10d,-0.1,0.3,0.477,32.56,8.36,0.842,11.52,75.0,4,True
Analyst_Heavy,Signal_10d,-0.1,0.5,0.477,32.56,8.36,0.902,17.39,75.0,4,True
Analyst_Heavy,Signal_10d,-0.15,0.3,0.528,31.57,18.66,0.82,11.54,75.0,4,True
Analyst_Heavy,Signal_10d,-0.15,0.5,0.528,31.57,18.66,0.88,17.45,75.0,4,True
